"net_name","ei","modularity","smi","rwc","bp","aei"
"talous_p1.edgelist_conf_2",-0.789531680440771,0.391836016058405,0.738211156955205,0.465782050441447,0.445594306355896,0.789518859074502
"talous_p2.edgelist",-0.882352941176471,0.395237174396932,0.809007532940778,0.626291606066471,0.433257229832572,0.880186767890533
"talous_p2.edgelist_conf_1",-0.797879858657244,0.380146087477681,0.722157815041108,0.539578394376057,0.465815923207228,0.798203620202266
"talous_p2.edgelist_conf_2",-0.824113475177305,0.403775464010865,0.840192427277172,0.597613604806668,0.470864552114552,0.82302808935519
"talous_p3.edgelist",-0.855681818181818,0.422223657024793,0.868809892539737,0.652772419492995,0.436241924741925,0.855003373639283
"talous_p3.edgelist_conf_1",-0.769682726204465,0.38470673197082,0.767892184766911,0.478796688124056,0.4501443001443,0.769967558509643
"talous_p3.edgelist_conf_2",-0.777647747220597,0.332784716988949,0.878661214572165,0.486140193276102,0.491226869535693,0.772452244903042
"tasaarvo_p1.edgelist",-0.815179760319574,0.408111333135934,0.86923897814462,0.520064903596398,0.443709827844969,0.823508778340626
"tasaarvo_p1.edgelist_conf_1",-0.715306402857928,0.347755956074468,0.624676583373025,0.402927542798553,0.469041226202082,0.716126819115409
"tasaarvo_p1.edgelist_conf_2",-0.738914899476728,0.369104412484041,0.734145490609008,0.415199252715354,0.452028209220947,0.738996390272001
"tasaarvo_p2.edgelist",-0.858197932053176,0.414795679280362,0.826003387720328,0.723735335300372,0.452040816326531,0.85625003454347
"tasaarvo_p2.edgelist_conf_1",-0.784061696658098,0.340577183603069,0.875320374091137,0.569463771244836,0.474193451306127,0.781109588629
"tasaarvo_p2.edgelist_conf_2",-0.790231362467866,0.35382372572214,0.813037831534813,0.586686727790886,0.428898506951139,0.785470625231548
"tasaarvo_p3.edgelist",-0.75978959672706,0.381291201668579,0.643160139279008,0.540636277363449,0.427135941322544,0.771496277616428
"tasaarvo_p3.edgelist_conf_1",-0.706780696395846,0.339553334634441,0.608816173751786,0.512307103714384,0.459747490631955,0.706429370304267
"tasaarvo_p3.edgelist_conf_2",-0.718473282442748,0.355423017306684,0.661553969135983,0.502296155674676,0.430810346378144,0.718208724726134
"terrorismi_p3.edgelist",-0.839679358717435,0.322922397902016,0.691923285228754,0.906414284141639,0.465277777777778,0.827325706885388
"terrorismi_p3.edgelist_conf_1",-0.723981900452489,0.336233901844762,0.835822754763069,0.798316029360335,0.450173611111111,0.724133862912423
"terrorismi_p3.edgelist_conf_2",-0.772727272727273,0.346446280991735,0.571158264962109,0.870220848181349,0.480340136054422,0.773347221093264
"terveys_p3.edgelist",-0.927875243664717,0.411955815464587,0.893364887874495,0.8594064369066,0.456486291486291,0.925888941672816
"terveys_p3.edgelist_conf_1",-0.89738219895288,0.322778432608755,0.762258347571916,0.693842228693756,0.502013888888889,0.893308225379026
"terveys_p3.edgelist_conf_2",-0.874066168623266,0.399153045266974,0.872491872362165,0.759285465685166,0.470013477088949,0.872981834995707
"tphakijat_p3.edgelist",-0.920138888888889,0.459936824845679,0.992226479910851,0.949978165723561,0.374250440917108,0.923811875886119
"tphakijat_p3.edgelist_conf_1",-0.692015209125475,0.327791351617054,0.60692741981368,0.761360022692327,0.488922518159806,0.688050258174653
"tphakijat_p3.edgelist_conf_2",-0.704980842911877,0.348101172912905,0.69516515655974,0.798213916790441,0.458235753317721,0.704843948594831
"translaki_p1.edgelist",-0.41507024265645,0.232544450225733,0.897728743583272,0.557519211552633,0.900111880288092,0.424908441652641
"translaki_p1.edgelist_conf_1",-0.423825344091125,0.175676756282142,0.908050072745133,0.516357084893644,0.936474922747801,0.385992506056542
"translaki_p1.edgelist_conf_2",-0.426004728132388,0.227775262813742,0.0958423804713413,0.574927988379197,0.927944167128859,0.439511580541389
"translaki_p2.edgelist",-0.993016759776536,0.191202287693892,NA,0.982933661859343,0.541666666666667,0.991059751731235
"translaki_p2.edgelist_conf_1",-0.724945135332846,0.33139596797541,0.593944565623146,0.662540263509413,0.46431163486719,0.718550028754781
"translaki_p2.edgelist_conf_2",-0.696703296703297,0.331871888794966,0.638567760762791,0.65863037113983,0.463003410730683,0.694737268517912
"tulevaisuus_p1.edgelist",-0.9359375,0.3521240234375,0.819275699820317,0.684437173300595,0.493092298647854,0.936627865871462
"tulevaisuus_p1.edgelist_conf_1",-0.822406639004149,0.373769046676194,0.648448412432735,0.54643543568645,0.520002939447384,0.825378711425955
"tulevaisuus_p1.edgelist_conf_2",-0.863560732113145,0.41458356981293,0.819937196712128,0.695296474543398,0.430838225701239,0.863188175260812
"turku_p1.edgelist",-0.865671641791045,0.357265858745667,0.794794454832877,0.647765672841761,0.387488093028717,0.859794660718276
"turku_p1.edgelist_conf_1",-0.744194618503502,0.364712421347354,0.685310491116053,0.459465462773764,0.447283305022351,0.743414689791476
"turku_p1.edgelist_conf_2",-0.750368188512518,0.374318661463948,0.75095436774039,0.447308980144874,0.432097392915517,0.750347872246187
"turku_p2.edgelist",-0.906321055025011,0.242436048797244,0.870326405087191,0.708276889890783,0.413411606412826,0.893092286323902
"turku_p2.edgelist_conf_1",-0.747388414055081,0.369439641994248,0.767530018204381,0.47662255722926,0.429374086591158,0.74663080590451
"turku_p2.edgelist_conf_2",-0.691722169362512,0.345600809704137,0.594264636584077,0.428295548521806,0.466837812969279,0.697012371058118
"turku_p3.edgelist",-0.967297210644437,0.273942423444678,0.955651128456949,0.884460041203764,0.358947124304267,0.963189788115093
"turku_p3.edgelist_conf_1",-0.779286926994907,0.359395943168618,0.793885865358989,0.542579939569418,0.436270168269108,0.774340815424827
"turku_p3.edgelist_conf_2",-0.805995284607612,0.358571977800015,0.780623623900497,0.565212800714442,0.421923526209241,0.799895944805608
"turpo_p1.edgelist",-0.716361679224973,0.32221904868946,0.709448640216029,0.475112264638747,0.399360896891841,0.705987542268109
"turpo_p1.edgelist_conf_1",-0.571469167377096,0.263088994982865,0.554240205043804,0.347319771386978,0.522716352126018,0.563211165078133
"turpo_p1.edgelist_conf_2",-0.578500707213578,0.288098685803113,0.610597534276785,0.400453182764888,0.470654055647615,0.58217232710565
"turpo_p2.edgelist",-0.682484900776532,0.338723617768732,0.706865316443796,0.627048470819196,0.42490776936115,0.68187588986841
"turpo_p2.edgelist_conf_1",-0.651258581235698,0.325716529907995,0.700086862249039,0.553210834475382,0.444813253313253,0.65173365563368
"turpo_p2.edgelist_conf_2",-0.674715261958998,0.3366371075285,0.645465641068953,0.575392689645427,0.435395759153886,0.674772362107234
"turpo_p3.edgelist",-0.757327880027267,0.319927289252443,0.709648373700167,0.64547142445259,0.639050724316746,0.75583018531078
"turpo_p3.edgelist_conf_1",-0.675338951997069,0.337775619840426,0.642531888902058,0.561313372076418,0.435840329853317,0.675612673608706
"turpo_p3.edgelist_conf_2",-0.668725027243008,0.334061880649568,0.65556758415978,0.569986023604235,0.428769234546545,0.66894122929009
